"messi maybe better than ronaldo but it must be said ronaldo has at least conquered epl , la liga and serie a","Thu Dec 05, 2019 11:27 am",2,1026,World Football,Messi now has one more Ballon d'Or than Ronaldo
"In 2009, more specifically on December 1, Leo Messi lifted his first Golden Ball after winning all possible titles with FC Barcelona. A season that appealed to the Barça team to be named one of the best of all time and to Argentina the future of","Wed Dec 04, 2019 7:03 pm",2,1026,World Football,Messi now has one more Ballon d'Or than Ronaldo
19. Improved his heading power & shooting power to add to his sometime show-pony step-overs. Always looking to create space for himself. Shades Messi as the current best modern-day player IMO.,"Tue Oct 15, 2019 10:49 am",104,14943,World Football,Euro 2020
O dearAre you sure? You have been through every player in the world to know that?,"Tue Jul 02, 2019 4:59 pm",8,2151,World Football,Thiago Silva labelled Lionel Messi the GOAT
Their is no such player called Christian Ronaldo,"Tue Jul 02, 2019 4:00 pm",8,2151,World Football,Thiago Silva labelled Lionel Messi the GOAT
Christian Ronaldo is not even the best ever player called Ronaldo. Messi is not even the best ever player from the Falklands war runner ups.,"Tue Jul 02, 2019 10:48 am",8,2151,World Football,Thiago Silva labelled Lionel Messi the GOAT
"Thiago Silva labelled Lionel Messi the greatest player of all-time ahead of Brazil's Copa America semi-final showdown against Argentina. Messi has been criticised after a quieter Copa America campaign, although Argentina are into the last","Mon Jul 01, 2019 12:03 pm",8,2151,World Football,Thiago Silva labelled Lionel Messi the GOAT
Was Djimi Traore better than Luis Suarez?,"Mon Jul 01, 2019 12:00 pm",8,2151,World Football,Thiago Silva labelled Lionel Messi the GOAT
"Ronaldo >> MessiLook at what they have won for their country, Ronaldo won a Euro Title with an average Portugal, Messi has won nothing with a good Argentina.","Mon Jul 01, 2019 9:23 am",8,2151,World Football,Thiago Silva labelled Lionel Messi the GOAT
"YOU'LL NEVER WALK ALONE!! :D :D :D :D :D :D :D :D :D :D Congrats on a great performance, especially with Firmino and Salah missing. If Messi doesn't really perform I think Barca are way past their best, but Liverpool were comfortably the better side over the two legs. Hoping for an EPL final.","Fri May 10, 2019 9:11 am",207,33619,World Football,Champions League 2018/19
